venue_id,name
1053,Middletown Square Shopping Center
1054,International Council of Delaware
1055,Historic Odessa Brewfest
1056,Fort Delaware State Park
1057,Pacem in Terris
1060,Cambridge Main Street
1062,Premier Centre for the Arts - Milton
1064,Songwriters Association of Delaware (SWADE)
1065,The Arise Church
1066,St. Mary of the Assumption Church
1067,Georgetown Fire Hall
1068,The Upper Crust
1069,"Georgetown Arts & Flowers, Inc."
1070,Union Park Honda
1073,Amandeline Gallery
1074,Bombay Hook National Wildlife Refuge
1075,Hockessin Fire Company
1076,Acorn Books
1078,Rose Colored Lasses
1079,"Delaware Hospice Center, Milford"
1081,Ocean Medical Imaging
1082,Bruce Productions
1083,Delaware Live
1084,Fringe Wilmington
1085,Community Church at Ocean Pines
1086,Reformation Lutheran Church
1087,Hockessin United Methodist Church
1089,lolahSoul Jewelry
1091,Skyline Methodist Church
1092,Osher Lifelong Learning at the University of Delaware in Lewes
1093,Janekav Gallery
1095,The Studio Group
1096,Ocean Waves Quilt Guild
1097,American Legion Post
1098,"Holiday Inn Express, Seaford"
1099,Live Nation
1101,Eastern Shore Writers' Association
1102,The Brick Hotel
1103,Roma Italian Ristorante
1104,Blue Hen Comedy Club
1105,Chesapeake Inn
1106,The Restaurant at Lighthouse Sound
1107,Chillin with Charlie
1108,Arden Folk Gild
1109,The Cottage Cafe
1110,Cultured Pearl Restaurant
1111,Rowan University
1112,2nd Saturday Poets
1113,The Jackson Inn
1115,Blue Hen Auction
1116,Dunes Manor Hotel
1117,Patchwork Playhouse
1118,Ishanya Dance Company
1120,"Chi Eta Phi Sorority, Inc. - Northeast Region"
1121,"University of Pennsylvania, Music Building"
1122,"Abbott's on Broadcreek, Laurel"
1123,Priscilla Payson Foundation
1124,"Take Two Drama Club, Sussex Central High School"
1126,North Inlet Day Area Gazebo
1127,Mio Fratello Italian Steakhouse
1128,"Delaware Hospice, Newark"
1129,Georgetown Circle
1130,"Immediato's Bistro, Middletown DE"
1131,Opus One Vocal Arts
1132,Mount Pleasant High School
1133,Blades Park
1134,Nanticoke River Marine Park
1135,"North Bedford Street Park, Georgetown"
1136,The Clarion Hotel - The Belle
1137,Heart in the Game
1139,Ninth Street Book Shop
